deg,mos_pred,noi_pred,dis_pred,col_pred,loud_pred,model
real_2024.wav,2.8719952,2.7122896,3.914971,2.9156134,3.4159818,NISQAv2
fake_1632.wav,3.8257246,3.6108863,4.09593,3.6078343,3.9687302,NISQAv2
real_819.wav,3.370761,2.8945448,4.1777043,3.4292395,4.009176,NISQAv2
fake_1154.wav,2.6825392,3.3895109,3.7034104,2.6160963,3.548282,NISQAv2
fake_1140.wav,2.1252043,2.7330248,3.347067,2.4321053,3.0704992,NISQAv2
fake_2449.wav,2.4477327,2.2698567,3.6228855,2.6029124,3.4125829,NISQAv2
real_1539.wav,4.4244485,4.308288,4.514052,4.2067857,4.3794065,NISQAv2
real_2030.wav,4.7703195,4.5832143,4.7263403,4.34633,4.645023,NISQAv2
fake_1626.wav,3.52701,3.4647157,4.174119,3.7453449,3.9085886,NISQAv2
real_1511.wav,3.7759855,4.0117593,4.127473,3.3759916,3.9237561,NISQAv2
fake_2307.wav,3.2515655,3.7817614,3.8685153,2.7300246,3.756307,NISQAv2
real_2018.wav,3.4461281,3.020282,4.1380796,3.7496264,3.754855,NISQAv2
fake_20.wav,2.7261136,3.2671192,3.4927294,2.4283826,3.5586636,NISQAv2
fake_1168.wav,2.2443516,2.8112051,2.5958781,2.5156276,3.4460714,NISQAv2
real_1277.wav,4.019046,2.7729335,4.4271927,4.2703032,4.202505,NISQAv2
fake_757.wav,2.7499368,3.2548034,3.5929632,2.309584,3.4906087,NISQAv2
fake_2461.wav,2.2751377,2.28537,3.3433936,2.292173,3.1970525,NISQAv2
real_825.wav,3.2404852,2.943017,3.8198106,3.541352,3.799251,NISQAv2
real_1263.wav,3.955636,2.8524544,4.404163,3.9731176,4.20835,NISQAv2
real_831.wav,3.1296341,2.2502778,4.0371428,3.6863015,3.8928123,NISQAv2
fake_743.wav,3.057906,3.8104246,3.8894827,2.4746628,3.6567388,NISQAv2
fake_2475.wav,2.373237,2.572954,3.4761174,2.558185,3.2377431,NISQAv2
